company,date,sentiment_score,trading_date,volatility_on_trading_date
Apple,2025-07-10,0.16102755102040817,2025-07-10,0.016426210390390487
Microsoft,2025-07-10,0.15482500000000002,2025-07-10,0.013440487074648419
Tesla,2025-07-10,-0.006710999999999998,2025-07-10,0.034933369954427085
